iu,iv,u_mm,v_mm,x_mm,y_mm,z_mm,nx,ny,nz,theta1_rad,theta2_rad,residual_abs,valid,reason_code
8,1,59.900000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
9,1,60.325000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
10,1,60.750000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
11,1,61.175000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
12,1,61.600000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
13,1,62.025000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
14,1,62.450000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
15,1,62.875000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
16,1,63.300000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
17,1,63.725000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
18,1,64.150000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
19,1,64.575000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
20,1,65.000000,-4.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
0,2,56.500000,-3.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
1,2,56.925000,-3.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
2,2,57.350000,-3.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
3,2,57.775000,-3.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
4,2,58.200000,-3.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.000000000000,0.000000000000,0.000000,0,SOLVER_FAIL
